,Date,Route,SailingTime,Vessel,ScheduledDeparture,ActualDeparture,ETA(Arrival.Time),Status,24HourDeparture,Traffic,WindSpeed_kph,Delay,Temperature
0,116,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of British Columbia,7:00 AM,7:01 AM,8:35 AM,On Time,700,1,4,1,13
1,117,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Queen of New Westminster,8:00 AM,8:03 AM,9:29 AM,On Time,800,1,4,3,15
2,118,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,9:00 AM,9:04 AM,10:39 AM,On Time,900,1,7,4,15
3,119,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,10:00 AM,10:05 AM,11:35 AM,On Time,1000,1,2,5,15
4,120,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of British Columbia,11:00 AM,11:12 AM,12:45 PM,Traffic delays,1100,1,8,12,15
5,121,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Queen of New Westminster,12:00 PM,12:01 PM,1:33 PM,On Time,1200,1,4,1,15
6,122,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,1:00 PM,1:06 PM,2:45 PM,On Time,1300,1,5,6,16
7,123,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,2:00 PM,2:06 PM,3:35 PM,On Time,1400,1,2,6,16
8,124,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of British Columbia,3:00 PM,3:11 PM,4:49 PM,Traffic delays,1500,1,3,11,16
9,125,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Queen of New Westminster,4:00 PM,4:05 PM,5:35 PM,Traffic delays,1600,1,1,5,15
10,126,2016-09-01,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,5:00 PM,5:10 PM,6:41 PM,Traffic delays,1700,2,0,10,15
